[ 2026-01-31 17:51:20,424 ] 19 root - INFO - Initiate data ingestion
[ 2026-01-31 17:51:27,100 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-01-31 17:51:27,100 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-31 17:51:27,100 ] 73 root - INFO - Exporting train and test file path.
[ 2026-01-31 17:51:27,268 ] 82 root - INFO - Exported train and test file path.
[ 2026-01-31 17:51:27,268 ] 21 root - INFO - Data Initiation Completed.
[ 2026-01-31 17:51:27,320 ] 26 root - INFO - Initiate the data validation
[ 2026-01-31 17:51:27,452 ] 31 root - INFO - Required number of columns:2
[ 2026-01-31 17:51:27,452 ] 32 root - INFO - Dataframes has columns:31
[ 2026-01-31 17:51:27,452 ] 31 root - INFO - Required number of columns:2
[ 2026-01-31 17:51:27,452 ] 32 root - INFO - Dataframes has columns:31
[ 2026-01-31 17:51:27,702 ] 28 root - INFO - Data validation completed.
[ 2026-01-31 17:51:27,702 ] 32 root - INFO - data_transformation has started.
[ 2026-01-31 17:51:27,702 ] 52 root - INFO - Entered initiate_data_transformation method of data transformation class.
[ 2026-01-31 17:51:27,702 ] 54 root - INFO - Starting Data Transformation .
[ 2026-01-31 17:51:27,725 ] 39 root - INFO - Entered get_data_transformer_object method of data transformation class.
[ 2026-01-31 17:51:27,725 ] 44 root - INFO - Initialise KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-31 17:51:27,768 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-31 17:51:27,782 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-31 17:51:27,785 ] 36 root - INFO - data_transformation is completed.
[ 2026-01-31 17:51:27,785 ] 39 root - INFO - Model Training started
