[ 2026-02-02 19:10:04,165 ] 19 root - INFO - Initiate data ingestion
[ 2026-02-02 19:10:09,272 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-02-02 19:10:09,272 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-02 19:10:09,272 ] 73 root - INFO - Exporting train and test file path.
[ 2026-02-02 19:10:09,428 ] 82 root - INFO - Exported train and test file path.
[ 2026-02-02 19:10:09,428 ] 21 root - INFO - Data Initiation Completed.
[ 2026-02-02 19:10:09,502 ] 26 root - INFO - Initiate the data validation
[ 2026-02-02 19:10:09,658 ] 31 root - INFO - Required number of columns:2
[ 2026-02-02 19:10:09,659 ] 32 root - INFO - Dataframes has columns:31
[ 2026-02-02 19:10:09,659 ] 31 root - INFO - Required number of columns:2
[ 2026-02-02 19:10:09,660 ] 32 root - INFO - Dataframes has columns:31
[ 2026-02-02 19:10:10,055 ] 28 root - INFO - Data validation completed.
[ 2026-02-02 19:10:10,055 ] 32 root - INFO - data_transformation has started.
[ 2026-02-02 19:10:10,055 ] 52 root - INFO - Entered initiate_data_transformation method of data transformation class.
[ 2026-02-02 19:10:10,055 ] 54 root - INFO - Starting Data Transformation .
[ 2026-02-02 19:10:10,129 ] 39 root - INFO - Entered get_data_transformer_object method of data transformation class.
[ 2026-02-02 19:10:10,129 ] 44 root - INFO - Initialise KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-02 19:10:10,152 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-02 19:10:10,152 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-02 19:10:10,152 ] 36 root - INFO - data_transformation is completed.
[ 2026-02-02 19:10:10,152 ] 39 root - INFO - Model Training started
[ 2026-02-02 19:21:20,215 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-02 19:21:20,216 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-02 19:21:20,216 ] 102 root - INFO - Model Trainer Artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_02_2026_19_09_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9920016199250785, precision_score=0.9906976744186047, recall_score=0.9933090024330901), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.97442143727162, precision_score=0.9693053311793215, recall_score=0.9795918367346939))
