[ 2026-02-02 22:13:26,700 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-02-02 22:13:28,817 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-02-02 22:13:30,468 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-02 22:13:30,497 ] 107 dagshub - INFO - Accessing as dkss-4
[ 2026-02-02 22:13:32,096 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/dkss-4/networksecurity "HTTP/1.1 200 OK"
[ 2026-02-02 22:13:34,158 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-02 22:13:34,162 ] 107 dagshub - INFO - Initialized MLflow to track repo "dkss-4/networksecurity"
[ 2026-02-02 22:13:34,165 ] 107 dagshub - INFO - Repository dkss-4/networksecurity initialized!
[ 2026-02-02 22:13:34,168 ] 19 root - INFO - Initiate data ingestion
[ 2026-02-02 22:13:41,849 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-02-02 22:13:41,849 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-02 22:13:41,849 ] 73 root - INFO - Exporting train and test file path.
[ 2026-02-02 22:13:42,201 ] 82 root - INFO - Exported train and test file path.
[ 2026-02-02 22:13:42,203 ] 21 root - INFO - Data Initiation Completed.
[ 2026-02-02 22:13:42,258 ] 26 root - INFO - Initiate the data validation
[ 2026-02-02 22:13:42,580 ] 31 root - INFO - Required number of columns:2
[ 2026-02-02 22:13:42,580 ] 32 root - INFO - Dataframes has columns:31
[ 2026-02-02 22:13:42,580 ] 31 root - INFO - Required number of columns:2
[ 2026-02-02 22:13:42,580 ] 32 root - INFO - Dataframes has columns:31
[ 2026-02-02 22:13:43,149 ] 28 root - INFO - Data validation completed.
[ 2026-02-02 22:13:43,150 ] 32 root - INFO - data_transformation has started.
[ 2026-02-02 22:13:43,150 ] 52 root - INFO - Entered initiate_data_transformation method of data transformation class.
[ 2026-02-02 22:13:43,150 ] 54 root - INFO - Starting Data Transformation .
[ 2026-02-02 22:13:43,234 ] 39 root - INFO - Entered get_data_transformer_object method of data transformation class.
[ 2026-02-02 22:13:43,234 ] 44 root - INFO - Initialise KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-02 22:13:43,264 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-02 22:13:43,270 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-02 22:13:43,272 ] 36 root - INFO - data_transformation is completed.
[ 2026-02-02 22:13:43,273 ] 39 root - INFO - Model Training started
[ 2026-02-02 22:25:08,528 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-02 22:25:08,538 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-02 22:25:08,542 ] 106 root - INFO - Model Trainer Artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_02_2026_22_12_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906598984771574, precision_score=0.9880518428513568, recall_score=0.9932817589576547), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9772636617471081, precision_score=0.9706814580031695, recall_score=0.9839357429718876))
